"Timestamp","Temperature_Celsius(℃)","Relative_Humidity(%)"
"2022-08-21 13:39:52","28.4","39"
"2022-08-21 14:39:56","27.8","36"
"2022-08-21 15:39:59","27.4","36"
"2022-08-21 16:39:00","26.9","38"
"2022-08-21 17:39:04","26.9","39"
"2022-08-21 18:39:12","26.7","38"
"2022-08-21 19:39:16","26.6","41"
"2022-08-21 20:39:20","26.4","41"
"2022-08-21 21:39:27","27.2","44"
"2022-08-21 22:39:31","27.7","43"
"2022-08-21 23:39:35","27.8","46"
"2022-08-22 00:39:35","27.8","46"
"2022-08-22 01:39:37","27.8","45"
"2022-08-22 02:39:40","27.9","46"
"2022-08-22 03:39:41","27.8","45"
"2022-08-22 04:39:41","27.8","45"
"2022-08-22 05:39:41","27.8","45"
"2022-08-22 06:39:41","27.8","45"
"2022-08-22 07:39:45","27.8","45"
"2022-08-22 08:39:45","28.0","45"
"2022-08-22 09:39:45","28.4","44"
"2022-08-22 10:39:45","28.6","44"
"2022-08-22 11:39:52","28.2","40"
"2022-08-22 12:39:57","27.6","38"
"2022-08-22 13:39:57","27.6","37"
"2022-08-22 14:39:00","27.5","36"
"2022-08-22 15:39:05","27.5","37"
"2022-08-22 16:39:23","27.4","36"
"2022-08-22 17:39:16","27.2","34"
"2022-08-22 18:39:32","27.0","37"
"2022-08-22 19:39:43","26.8","35"
"2022-08-22 20:39:56","26.7","36"
"2022-08-22 21:39:07","27.0","39"
"2022-08-22 22:39:08","27.7","41"
"2022-08-22 23:39:10","27.8","42"
"2022-08-23 00:39:14","27.9","42"
"2022-08-23 01:39:14","27.9","42"
"2022-08-23 02:39:14","27.9","41"
"2022-08-23 03:39:22","27.9","41"
"2022-08-23 04:39:22","27.8","41"
"2022-08-23 05:39:22","27.9","42"
"2022-08-23 06:39:22","27.9","42"
"2022-08-23 07:39:22","28.0","43"
"2022-08-23 08:39:24","28.3","42"
"2022-08-23 09:39:28","27.4","41"
"2022-08-23 10:39:28","27.4","41"
"2022-08-23 11:39:34","27.4","42"
"2022-08-23 12:39:44","27.7","42"
"2022-08-23 13:39:56","27.7","42"
"2022-08-23 14:39:04","27.6","43"
"2022-08-23 15:39:04","27.6","43"
"2022-08-23 16:39:04","27.5","46"
"2022-08-23 17:39:04","27.5","46"
"2022-08-23 18:39:04","27.3","49"
"2022-08-23 19:39:04","27.2","49"
"2022-08-23 20:39:08","27.0","47"
"2022-08-23 21:39:12","27.6","50"
"2022-08-23 22:39:12","27.9","51"
"2022-08-23 23:39:20","28.0","52"
"2022-08-24 00:39:23","28.0","52"
"2022-08-24 01:39:24","28.1","52"
"2022-08-24 02:39:28","28.2","55"
"2022-08-24 03:39:36","28.2","54"
"2022-08-24 04:39:36","28.1","54"
"2022-08-24 05:39:36","28.1","53"
"2022-08-24 06:39:36","28.1","54"
"2022-08-24 07:39:36","28.2","54"
